role_id,company,role_title,expected_recommendation,actual_recommendation,fit_score,estimated_level,level_confidence,level_rationale,expected_blocked,actual_blocked,blocker_match,surface_match,all_surfaced_match,evaluator_version
LNP-001,Spotify,Executive Protection Specialist,skip,skip,19,L4,50,"JD does not specify years required, management scope, or reporting line. Role title and responsibilities (protecting leaders, operational security, international travel) suggest a specialized L4 IC or early-management role, but company size/stage is unstated, lowering confidence. No salary posted.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-002,Spotify,"Business Development Senior Manager, APAC",skip,skip,44,L5,75,"Senior Manager title with APAC regional scope, reporting to Director-level, and strategic partnership ownership suggests L5 (senior IC) equivalent. No explicit years or manager-of-managers language. company stage (Spotify—established public company) and regional anchor support L5 calibration rather than L4 or L6.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-003,Helsing,(Senior) Expert Export Control,skip,skip,24,L4,70,"Reports to Director (L6 equivalent signal). requires deep domain expertise and independent permit/license ownership within a high-stakes, mission-critical environment. Scope is specialized operational authority rather than broad cross-functional or people leadership. Estimated L4 specialist level, L5 if expertise is genuinely considered senior within the defence export-control domain. Company stage unclear from JD.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-004,Parloa,Senior Agent Architect (France),skip,skip,46,L5,72,"JD requires 3+ years enterprise customer-facing experience, conversational-AI domain expertise, and API-integration proficiency. Title is Senior Agent Architect (customer-facing deployment role). Company size/stage is not stated. Scope involves scoping, designing, and validating AI-agent deployments. collaborating with engineering and product. and guiding customer value realization. This is a specialist senior IC role with customer accountability and cross-functional coordination, estimated at L5 (Senior IC / established specialist owner)."".",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-005,Spotify,"Senior Manager, EU Government Affairs",skip,skip,24,L5,72,"Senior Manager title reporting to Senior Director in a large public company implies established IC or junior-manager scope. Title and reporting line suggest L5 (senior IC or entry manager). no explicit years-of-experience or manager-of-managers language in JD, so L5 rather than L6.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-006,Stripe,"Manager, Technical Account Management",skip,skip,57,L6,85,"The JD requires at least 15 years of professional experience, a hard seniority anchor that maps the posted role to L6.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-007,Helsing,Quality Assurance Engineer - Development,skip,blocked,33,L4,75,"Role requires 5+ years in regulated QA (aerospace/defence minimum signal), hands-on audit conduct, QMS ownership, and software development-assurance expertise. This is a senior IC or lead-QA scope at a defence company, placing it at L4 baseline with potential L5 elements (cross-functional stakeholder management, external regulatory liaison, competing workstreams). Company stage unknown. no salary posted. The 5-year floor and regulated-industry specificity anchor L4. no evidence of management scope or multi-team oversight suggests not L5+."".",False,True,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-008,Pigment,Global Total Rewards Manager,skip,skip,24,L4,70,"Role reports to Head of People with global scope (Paris-based) at a 600+ SaaS company (Pigment). functional responsibility for comp & benefits strategy. HR/payroll roles typically anchor at L4–L5 depending on organization maturity and hiring pattern. No years-of-experience requirement is stated in JD, company scale is moderately senior context, and title suggests individual-contributor or junior-manager level. L4 is a reasonable estimate absent more explicit seniority signals.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-009,Databricks,Delivery Solutions Architect,skip,skip,43,L5,76,"5+ years required experience in technical program/project delivery, post-sales technical account leadership, customer escalation management, and complex delivery orchestration. Reports to DSA Manager (not manager-of-managers). Mid-market or enterprise customer scope at a Series-D+ company. Anchors to L5: established technical-IC ownership of account strategy and delivery, stakeholder management across multiple teams, and pre-sales/post-sales bridge responsibility.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-010,Checkout.com,Proposals & Assurance Manager,skip,skip,58,L4,75,"Role requires 3+ years in assurance/bid/sales operations and explicitly describes senior specialist scope with autonomous execution, stakeholder navigation, and structured thinking in a fast-paced, high-growth environment. No management reporting line or people leadership stated. title 'Manager' is coordinator/functional ownership rather than people management. Equivalent to L4 (Senior IC / Lead specialist) in a growth-stage fintech scale-up context.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-011,Airwallex,"Senior Partnerships Manager, Startup and VC Ecosystem, France",skip,skip,46,L4,78,"JD requires 6+ years in partnerships/strategy/ecosystem roles in high-growth SaaS/fintech, with 3+ directly in partnerships/ecosystem, plus existing VC/startup network and track record of end-to-end partner program delivery. Reporting to Head of Sales in a greenfield market with owned targets and portfolio responsibility. This signals L4-L5 (Senior Manager or Lead scope) at a scaling stage fintech. lacking manager-of-managers language or multi-year track record in partnerships specifically, L4 is the most conservative estimate.",False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
LNP-012,Anthropic,"Enterprise Sales Manager, Digital Native Business",skip,skip,52,L5,78,Sales Manager role requires 10+ years enterprise sales experience and 5+ years sales leadership with team-building and coaching emphasis. Title and people-leadership responsibility anchor to L5. company stage not stated in JD. Base salary (£280–330k) supports mid-to-senior IC or manager level. No director-equivalent language or manager-of-managers scope present.,False,False,,True,True,hybrid_claude_v4; prompt=role_evaluation_v6; model=claude-haiku-4-5
