role_id,company,role_title,expected_recommendation,expected_should_pass_gate,actual_passed_gate,gate_reason
LN-001,Checkout.com,"Analyst II, Transaction Monitoring and Screening",skip,False,False,location_filter_not_allowed
LN-002,Stripe,Implementation Consultant,skip,False,False,location_filter_skipped_market
LN-003,Databricks,"Staff Software Engineer, Observability",skip,False,False,location_filter_us_requires_tier1_sponsorship_exceptional_role
LN-004,Snowflake,"Sr. Sales Ops Analyst, Observability",skip,False,False,location_filter_not_allowed
LN-005,OpenAI,"AI Deployment Engineer, Messenger Integrations",skip,False,False,location_filter_us_requires_tier1_sponsorship_exceptional_role
LN-006,Stripe,"Engineering Manager, HADR",skip,False,False,location_filter_us_requires_tier1_sponsorship_exceptional_role
LN-007,Mistral AI,Enterprise Sales Leader,skip,False,False,location_filter_us_requires_tier1_sponsorship_exceptional_role
LN-008,Sierra,"Software Engineer, Agent Builder",skip,False,False,location_filter_us_requires_tier1_sponsorship_exceptional_role
LN-009,Airbnb,"Market Lead, Experiences",skip,False,True,ambiguous_title_department_routed_to_llm
LN-010,OpenAI,Manufacturing Test Engineer,skip,False,True,ambiguous_title_department_routed_to_llm
LN-011,N26,ESG Analyst,skip,False,True,ambiguous_title_department_routed_to_llm
LN-012,Anthropic,"Enterprise Account Executive, State & Local Sales - North East",skip,False,False,location_filter_us_requires_tier1_sponsorship_exceptional_role
LN-013,Mistral AI,Partner Solution Architect - EMEA,skip,False,True,ambiguous_title_department_routed_to_llm
LN-014,OpenAI,"Data Scientist, Financial Engineering",skip,False,False,location_filter_us_requires_tier1_sponsorship_exceptional_role
LN-015,HelloFresh,Schichtleiter Haustechnik (all genders),skip,False,False,location_filter_not_allowed
LN-016,N26,ICT GRC – ICT Governance Manager,skip,False,True,ambiguous_title_department_routed_to_llm
LN-017,OpenAI,"AI Deployment Engineer, Startups",skip,False,True,ambiguous_title_department_routed_to_llm
LN-018,Palantir,Systems Engineer - Business Systems,skip,False,False,location_filter_not_allowed
LN-019,Airwallex,"Senior Manager, Operations Strategy",apply_now,True,True,matched_title_department_role_family
LN-020,Helsing,"Software Engineer, Platform Engineering",skip,False,False,location_filter_not_allowed
LN-021,Celonis,Applied Engineer (Solution Consultant) - Supply Chain,skip,False,True,ambiguous_title_department_routed_to_llm
LN-022,Mistral AI,Research Engineer - Robotics,skip,False,True,ambiguous_title_department_routed_to_llm
LN-023,Helsing,Avionics Systems Engineer - Safety Critical Systems,skip,False,True,ambiguous_title_department_routed_to_llm
LN-024,Airwallex,"Manager, Technical SEO Marketing",skip,False,False,location_filter_us_requires_tier1_sponsorship_exceptional_role
LN-025,HelloFresh,Transport Assistant,skip,False,False,location_filter_not_allowed
LN-026,Stripe,"Product Support, Bridge",skip,False,True,matched_title_department_role_family
LN-027,Snowflake,Senior PS Sales Solutions Architect,skip,False,False,location_filter_us_requires_tier1_sponsorship_exceptional_role
