role_id,company,role_title,label,expected_recommendation,actual_recommendation,expected_feasibility,actual_feasibility,expected_tier,actual_tier,expected_blocked,actual_blocked,fit_score,estimated_level,level_confidence,level_rationale,recommendation_match,surface_match,blocker_match,feasibility_match,fit_band_match,evaluator_version
EV-01,OpenAI,"Sales Strategy and Operations, ANZ",clean_apply,apply_now,consider,viable,viable,tier_1,tier_1,False,False,71,L4,40,"Title ""Sales Strategy and Operations, ANZ"" at OpenAI suggests an individual contributor or junior team-lead scope, typical of L4 (Senior Manager / Lead). Without stable JD access, unable to confirm exact scope, reporting line, or ANZ team structure. Company stage/maturity unknown.",False,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-02,SafetyCulture,"Strategic Project Lead, AI Operations",clean_apply,apply_now,consider,viable,viable,tier_1,tier_1,False,False,71,L4,40,"Title ""Strategic Project Lead"" in Strategy & Operations at an unspecified-stage company suggests L4 IC or early-stage L5 operator scope. No years-required, management scope, or reporting line stated in the truncated JD. Level estimate is tentative pending full JD clarity.",False,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-03,Canva,Operations Business Partner (Growth / Tech),clean_apply,apply_now,consider,viable,viable,tier_1,tier_1,False,False,71,L4,45,"Business Partner role at Canva (company size unknown) typically implies L4 individual contributor or team lead, but JD provides no detail on years required, team scope, reporting line, or strategic ownership. Title and minimal description alone insufficient for confident level estimate.",False,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-04,Uber,Senior Strategy & Operations Manager,clean_apply,apply_now,consider,viable,viable,tier_1,tier_1,False,False,71,L5,45,"Title 'Senior Strategy & Operations Manager' at a large tech enterprise (Uber) typically maps to L5 (6–9 years or established senior-IC ownership). The JD text failed to fetch, leaving scope, reporting line, and specific responsibilities unstated. Without visibility into management breadth, cross-functional ownership, or stakeholder level, confidence is low. Estimate is based on title and department context alone.",False,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-05,Airwallex,"Senior Manager, Operations Strategy",clean_apply,apply_now,consider,viable,viable,tier_1,tier_1,False,False,71,L5,55,"Senior Manager title with operations strategy scope typically indicates L5 IC or junior manager track. ""Operations Strategy"" suggests cross-functional strategic influence rather than pure execution. Absent explicit years required, team-size scope, reporting line, or company stage in the JD, confidence is moderate; title alone is ambiguous in early/growth-stage context.",False,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-06,DoorDash,"Manager, Strategy & Operations",clean_apply,apply_now,consider,viable,viable,tier_1,tier_1,False,False,75,L4,75,"Title ""Manager, Strategy & Operations"" at a mid-to-large scale multi-market platform company typically indicates L4 individual contributor or first-line management. JD does not state years required, but manager-level scope in a core S&O function without explicit director-of-managers language suggests L4. Reporting line and company scale (DoorDash is large-scale public) are consistent with L4-L5 band; absent additional context, L4 is conservative estimate for a manager title in ops.""",False,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-07,Airbnb,Business Operations and Growth Lead,clean_apply,apply_now,consider,viable,viable,tier_1,tier_1,False,False,71,L4,30,"Title ""Business Operations and Growth Lead"" in a mature, US-headquartered tech company typically signals L4–L5 IC or early manager scope. No years required, reporting line, or team-management language in provided JD text. Sydney location and 'Lead' suffix suggest possible individual contributor or small-team ownership. Without full JD body, confidence is low.",False,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-08,Wise,"Senior Revenue Operations Manager, Wise Platform",clean_apply,apply_now,consider,viable,viable,tier_1,tier_1,False,False,79,L5,72,"JD requires 5–8 years with team leadership; reporting line not stated. ""Senior"" title and manager scope at a global fintech platform suggest established IC or first-line management. Role emphasizes analytics, process design, stakeholder engagement, and team leadership rather than deep technical depth, consistent with L5 senior IC or early manager-of-managers in ops. Company stage (unknown) creates moderate uncertainty.",False,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-09,Spotify,Markets Strategy & Operations Manager,clean_apply,apply_now,consider,viable,viable,tier_1,tier_1,False,False,71,L4,35,"Title ""Manager"" suggests L4 IC or junior team lead at a large org like Spotify. No salary, years required, reporting line, or team scope stated. Company size and stage unknown per Role JSON. Cannot reliably anchor without full JD text.",False,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
EV-10,Personio,Senior Revenue Operations & Strategy Manager,clean_apply,apply_now,consider,viable,viable,tier_2,tier_2,False,False,70,L5,45,"Title suggests L5 (Senior Manager, 5–8 years, established ownership). Reporting line and company stage unknown. Munich location and company size not stated in Role JSON, limiting confidence. Estimate based on title alone is coarse.",False,True,True,True,True,hybrid_claude_v3; prompt=role_evaluation_v5; model=claude-haiku-4-5
