Company,Tier,Careers URL,ATS,Source key,Adapter supported,Status,Fallback,Job count at audit,Evidence URL,Selected initial coverage
Google,1,https://careers.google.com/,unknown,,no,Needs configuration,"Confirm ATS/source key, then use manual URL/text intake until configured.",,,no
Databricks,1,https://www.databricks.com/company/careers,greenhouse,databricks,yes,Supported,Manual URL/text intake if feed fails or a role is missing from the feed.,757,https://boards-api.greenhouse.io/v1/boards/databricks/jobs,yes
OpenAI,1,https://openai.com/careers/,ashby,openai,yes,Supported,Manual URL/text intake if feed fails or a role is missing from the feed.,709,https://api.ashbyhq.com/posting-api/job-board/openai?includeCompensation=false,yes
Stripe,1,https://stripe.com/jobs,greenhouse,stripe,yes,Supported,Manual URL/text intake if feed fails or a role is missing from the feed.,496,https://boards-api.greenhouse.io/v1/boards/stripe/jobs,yes
Airbnb,1,https://careers.airbnb.com/,greenhouse,airbnb,yes,Supported,Manual URL/text intake if feed fails or a role is missing from the feed.,218,https://boards-api.greenhouse.io/v1/boards/airbnb/jobs,yes
DoorDash,1,https://careersatdoordash.com/,unknown,,no,Needs configuration,"Confirm ATS/source key, then use manual URL/text intake until configured.",,,no
Uber,1,https://www.uber.com/global/en/careers/,unknown,,no,Needs configuration,"Confirm ATS/source key, then use manual URL/text intake until configured.",,,no
Canva,1,https://www.lifeatcanva.com/en/jobs/,unknown,,no,Needs configuration,"Confirm ATS/source key, then use manual URL/text intake until configured.",,,no
Atlassian,1,https://www.atlassian.com/company/careers,lever,atlassian,no,Needs configuration,"Confirm ATS/source key, then use manual URL/text intake until configured.",0,https://api.lever.co/v0/postings/atlassian?mode=json,no
Airwallex,1,https://careers.airwallex.com/,ashby,airwallex,yes,Supported,Manual URL/text intake if feed fails or a role is missing from the feed.,582,https://api.ashbyhq.com/posting-api/job-board/airwallex?includeCompensation=false,yes
Sierra,1,https://sierra.ai/careers,ashby,sierra,yes,Supported,Manual URL/text intake if feed fails or a role is missing from the feed.,135,https://api.ashbyhq.com/posting-api/job-board/sierra?includeCompensation=false,yes
Mistral AI,1,https://jobs.lever.co/mistral,lever,mistral,yes,Supported,Manual URL/text intake if feed fails or a role is missing from the feed.,172,https://api.lever.co/v0/postings/mistral?mode=json,yes
Palantir,1,https://www.palantir.com/careers/,lever,palantir,yes,Supported,Manual URL/text intake if feed fails or a role is missing from the feed.,237,https://api.lever.co/v0/postings/palantir?mode=json,yes
Amazon / AWS,1,https://www.amazon.jobs/,unknown,,no,Needs configuration,"Confirm ATS/source key, then use manual URL/text intake until configured.",,,no
Apple,1,https://jobs.apple.com/,unknown,,no,Needs configuration,"Confirm ATS/source key, then use manual URL/text intake until configured.",,,no
Netflix,1,https://jobs.netflix.com/,unknown,,no,Needs configuration,"Confirm ATS/source key, then use manual URL/text intake until configured.",,,no
SafetyCulture,1,https://safetyculture.com/careers/,ashby,safetyculture,no,Needs configuration,"Confirm ATS/source key, then use manual URL/text intake until configured.",0,https://api.ashbyhq.com/posting-api/job-board/safetyculture?includeCompensation=false,no
NEURA Robotics,1,https://jobs.neura-robotics.com/,unknown,,no,Needs configuration,"Confirm ATS/source key, then use manual URL/text intake until configured.",,,no
